Home,Away,Round
Olympiakos,Panathinaikos,29
Bayern,Anadolu Efes,29
Barcelona,Partizan,29
Barcelona,Zalgiris Kaunas,30
Paris,Olimpia Milano,30
Olympiakos,Crvena zvezda,30
Monaco,Fenerbahce,30
Maccabi Tel Aviv,Virtus Bologna,30
Baskonia,Bayern,30
Real Madrid,Lyon-Villeurbanne,30
Panathinaikos,Alba Berlin,30
Partizan,Anadolu Efes,30
Fenerbahce,Paris,31
Monaco,Zalgiris Kaunas,31
Barcelona,Bayern,31
Real Madrid,Olimpia Milano,31
Lyon-Villeurbanne,Olympiakos,31
Partizan,Alba Berlin,31
Anadolu Efes,Baskonia,31
Crvena zvezda,Virtus Bologna,31
Maccabi Tel Aviv,Panathinaikos,31
Lyon-Villeurbanne,Zalgiris Kaunas,32
Olympiakos,Monaco,32
Bayern,Partizan,32
Olimpia Milano,Barcelona,32
Anadolu Efes,Maccabi Tel Aviv,32
Fenerbahce,Baskonia,32
Crvena zvezda,Real Madrid,32
Alba Berlin,Virtus Bologna,32
Panathinaikos,Paris,32
Fenerbahce,Barcelona,33
Monaco,Panathinaikos,33
Zalgiris Kaunas,Partizan,33
Maccabi Tel Aviv,Bayern,33
Real Madrid,Paris,33
Alba Berlin,Olympiakos,33
Crvena zvezda,Anadolu Efes,33
Baskonia,Lyon-Villeurbanne,33
Virtus Bologna,Olimpia Milano,33
Lyon-Villeurbanne,Monaco,34
Bayern,Fenerbahce,34
Olympiakos,Maccabi Tel Aviv,34
Olimpia Milano,Baskonia,34
Partizan,Real Madrid,34
Paris,Alba Berlin,34
Anadolu Efes,Zalgiris Kaunas,34
Panathinaikos,Crvena zvezda,34
Barcelona,Virtus Bologna,34
